name	kind	expansion	primary
\!	construct	\tmspace-{3mu}{.1667em}	
\,	construct	\tmspace+{3mu}{.1667em}	
\:	construct	\tmspace+{4mu}{.2222em}	
\;	construct	\tmspace+{5mu}{.2777em}	
\>	construct	\mskip{4mu}	
\@firstoftwo	contextual		
\@hspace	construct	\hskip #1\relax	
\@hspacer	construct	\rule{0pt}{0pt}\hskip #1\relax	
\@ifnextchar	contextual		
\@ifstar	construct	\@ifnextchar *{\@firstoftwo{#1}}	
\@secondoftwo	contextual		
\AA	construct	\r A	
\Alpha	construct	\mathrm{A}	
\Bbbk	construct	\Bbb{k}	
\Beta	construct	\mathrm{B}	
\Bra	construct	\left\langle#1\right|	
\Braket	construct	\bra@ket{\left\langle}{\,\middle\vert\,}{\,\middle\vert\,}{\right\rangle}	
\Chi	construct	\mathrm{X}	
\Colonapprox	operator	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}\approx}}{\mathop{\char"2237\char"2248}}	
\Coloneq	operator	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}\mathrel{-}}}{\mathop{\char"2237\char"2212}}	
\Coloneqq	operator	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}=}}{\mathop{\char"2237\char"3d}}	
\Colonsim	operator	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}\sim}}{\mathop{\char"2237\char"223c}}	
\Complex	construct	\mathbb{C}	
\DOTSB	alias	\relax	\relax
\DOTSI	alias	\relax	\relax
\DOTSX	alias	\relax	\relax
\Dagger	alias	\ddagger	\ddagger
\Darr	alias	\Downarrow	\Downarrow
\Epsilon	construct	\mathrm{E}	
\Eqcolon	operator	\html@mathml{\mathrel{\mathrel{-}\mathrel{\mkern-1.2mu}\dblcolon}}{\mathop{\char"2212\char"2237}}	
\Eqqcolon	operator	\html@mathml{\mathrel{=\mathrel{\mkern-1.2mu}\dblcolon}}{\mathop{\char"3d\char"2237}}	
\Eta	construct	\mathrm{H}	
\Harr	alias	\Leftrightarrow	\Leftrightarrow
\Iota	construct	\mathrm{I}	
\KaTeX	construct	\textrm{\html@mathml{	
\Kappa	construct	\mathrm{K}	
\Ket	construct	\left|#1\right\rangle	
\LaTeX	construct	\textrm{\html@mathml{	
\Larr	alias	\Leftarrow	\Leftarrow
\Lrarr	alias	\Leftrightarrow	\Leftrightarrow
\Mu	construct	\mathrm{M}	
\N	construct	\mathbb{N}	
\Nu	construct	\mathrm{N}	
\Omicron	construct	\mathrm{O}	
\R	construct	\mathbb{R}	
\Rarr	alias	\Rightarrow	\Rightarrow
\Reals	construct	\mathbb{R}	
\Rho	construct	\mathrm{P}	
\Set	construct	\bra@set{\left\{\:}{\;\middle\vert\;}{\;\middle\Vert\;}{\:\right\}}	
\Tau	construct	\mathrm{T}	
\TeX	construct	\textrm{\html@mathml{T\kern-.1667em\raisebox{-.5ex}{E}\kern-.125emX}{TeX}}	
\TextOrMath	contextual		
\Uarr	alias	\Uparrow	\Uparrow
\Z	construct	\mathbb{Z}	
\Zeta	construct	\mathrm{Z}	
