name	kind	limits	source	expansion
\Colonapprox	macro	1	macros.ts	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}\approx}}{\mathop{\char"2237\char"2248}}
\Coloneq	macro	1	macros.ts	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}\mathrel{-}}}{\mathop{\char"2237\char"2212}}
\Coloneqq	macro	1	macros.ts	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}=}}{\mathop{\char"2237\char"3d}}
\Colonsim	macro	1	macros.ts	\html@mathml{\mathrel{\dblcolon\mathrel{\mkern-1.2mu}\sim}}{\mathop{\char"2237\char"223c}}
\Eqcolon	macro	1	macros.ts	\html@mathml{\mathrel{\mathrel{-}\mathrel{\mkern-1.2mu}\dblcolon}}{\mathop{\char"2212\char"2237}}
\Eqqcolon	macro	1	macros.ts	\html@mathml{\mathrel{=\mathrel{\mkern-1.2mu}\dblcolon}}{\mathop{\char"3d\char"2237}}
\Pr	named	1	op.ts	
\arccos	named	0	op.ts	
\arcctg	named	0	op.ts	
\arcsin	named	0	op.ts	
\arctan	named	0	op.ts	
\arctg	named	0	op.ts	
\arg	named	0	op.ts	
\argmax	macro	1	macros.ts	\DOTSB\operatorname*{arg\,max}
\argmin	macro	1	macros.ts	\DOTSB\operatorname*{arg\,min}
\bigcap	big	1	op.ts	
\bigcup	big	1	op.ts	
\bigodot	big	1	op.ts	
\bigoplus	big	1	op.ts	
\bigotimes	big	1	op.ts	
\bigsqcup	big	1	op.ts	
\biguplus	big	1	op.ts	
\bigvee	big	1	op.ts	
\bigwedge	big	1	op.ts	
\ch	named	0	op.ts	
\colonapprox	macro	1	macros.ts	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}\approx}}{\mathop{\char"3a\char"2248}}
\coloneq	macro	1	macros.ts	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}\mathrel{-}}}{\mathop{\char"3a\char"2212}}
\coloneqq	macro	1	macros.ts	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}=}}{\mathop{\char"2254}}
\colonsim	macro	1	macros.ts	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-1.2mu}\sim}}{\mathop{\char"3a\char"223c}}
\coprod	big	1	op.ts	
\cos	named	0	op.ts	
\cosec	named	0	op.ts	
\cosh	named	0	op.ts	
\cot	named	0	op.ts	
\cotg	named	0	op.ts	
\coth	named	0	op.ts	
\csc	named	0	op.ts	
\ctg	named	0	op.ts	
\cth	named	0	op.ts	
\dblcolon	macro	1	macros.ts	\html@mathml{\mathrel{\vcentcolon\mathrel{\mkern-.9mu}\vcentcolon}}{\mathop{\char"2237}}
\deg	named	0	op.ts	
\det	named	1	op.ts	
\dim	named	0	op.ts	
