name	mode	font	group	codepoint	accept_unicode
 	text	main	spacing	U+00A0	0
!	math	main	close	U+0021	0
'	text	main	textord	U+2019	1
''	text	main	textord	U+201D	1
*	math	main	bin	U+2217	1
+	math	main	bin	U+002B	0
,	math	main	punct	U+002C	0
-	math	main	bin	U+2212	1
--	text	main	textord	U+2013	1
---	text	main	textord	U+2014	1
:	math	main	rel	U+003A	0
;	math	main	punct	U+003B	0
=	math	main	rel	U+003D	0
?	math	main	close	U+003F	0
\ 	math	main	spacing	U+00A0	0
\ 	text	main	spacing	U+00A0	0
\"	text	main	accent-token	U+00A8	0
\#	math	main	textord	U+0023	0
\#	text	main	textord	U+0023	0
\$	math	main	textord	U+0024	0
\$	text	main	textord	U+0024	0
\%	math	main	textord	U+0025	0
\%	text	main	textord	U+0025	0
\&	math	main	textord	U+0026	0
\&	text	main	textord	U+0026	0
\'	text	main	accent-token	U+02CA	0
\.	text	main	accent-token	U+02D9	0
\=	text	main	accent-token	U+02C9	0
\@cdots	math	main	inner	U+22EF	1
\@gvertneqq	math	ams	rel	U+E00D	0
\@imath	math	main	mathord	U+E131	0
\@jmath	math	main	mathord	U+E237	0
\@llcorner	math	ams	open	U+2514	1
\@lrcorner	math	ams	close	U+2518	1
\@lvertneqq	math	ams	rel	U+E00C	0
\@ngeqq	math	ams	rel	U+E00E	0
\@ngeqslant	math	ams	rel	U+E00F	0
\@nleqq	math	ams	rel	U+E011	0
\@nleqslant	math	ams	rel	U+E010	0
\@not	math	main	rel	U+E020	0
\@nshortmid	math	ams	rel	U+E006	0
\@nshortparallel	math	ams	rel	U+E007	0
\@nsubseteqq	math	ams	rel	U+E016	0
\@nsupseteqq	math	ams	rel	U+E018	0
\@ulcorner	math	ams	open	U+250C	1
\@urcorner	math	ams	close	U+2510	1
\@varsubsetneq	math	ams	rel	U+E01A	0
\@varsubsetneqq	math	ams	rel	U+E017	0
\@varsupsetneq	math	ams	rel	U+E01B	0
\@varsupsetneqq	math	ams	rel	U+E019	0
\AE	text	main	textord	U+00C6	1
\And	math	main	bin	U+0026	0
\Box	math	ams	textord	U+25A1	0
\Bumpeq	math	ams	rel	U+224E	1
\Cap	math	ams	bin	U+22D2	1
\Cup	math	ams	bin	U+22D3	1
\Delta	math	main	textord	U+0394	1
\Diamond	math	ams	textord	U+25CA	0
\Doteq	math	ams	rel	U+2251	1
\Downarrow	math	main	rel	U+21D3	1
\Finv	math	ams	textord	U+2132	1
\Game	math	ams	textord	U+2141	1
\Gamma	math	main	textord	U+0393	1
\H	text	main	accent-token	U+02DD	0
\Im	math	main	textord	U+2111	1
\Join	math	main	rel	U+22C8	0
\Lambda	math	main	textord	U+039B	1
\Leftarrow	math	main	rel	U+21D0	1
\Leftrightarrow	math	main	rel	U+21D4	1
\Lleftarrow	math	ams	rel	U+21DA	1
\Longleftarrow	math	main	rel	U+27F8	1
\Longleftrightarrow	math	main	rel	U+27FA	1
\Longrightarrow	math	main	rel	U+27F9	1
\Lsh	math	ams	rel	U+21B0	1
\O	text	main	textord	U+00D8	1
\OE	text	main	textord	U+0152	1
\Omega	math	main	textord	U+03A9	1
\P	math	main	textord	U+00B6	1
\P	text	main	textord	U+00B6	0
\Phi	math	main	textord	U+03A6	1
\Pi	math	main	textord	U+03A0	1
\Psi	math	main	textord	U+03A8	1
\Re	math	main	textord	U+211C	1
\Rightarrow	math	main	rel	U+21D2	1
\Rrightarrow	math	ams	rel	U+21DB	1
\Rsh	math	ams	rel	U+21B1	1
\S	math	main	textord	U+00A7	1
\S	text	main	textord	U+00A7	0
\Sigma	math	main	textord	U+03A3	1
\Subset	math	ams	rel	U+22D0	1
