command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
!	symbol	math	U+0021	!	factorial	POSTFIX		!	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:409	
(	symbol	math	U+0028	(		OPEN		\lparen	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:413	
)	symbol	math	U+0029	)		CLOSE		\rparen	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:414	
*	symbol	math	U+2217	*	times	MULOP		*	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:407	
+	symbol	math	U+002B	+	plus	ADDOP		+	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:403	
,	symbol	math	U+002C	,		PUNCT		,	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:410	
-	symbol	math	U+002D	-	minus	ADDOP		-	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:404	
.	symbol	math	U+002E	.		PERIOD		\ldotp	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:411	
/	symbol	math	U+002F	/	divide	MULOP			lib/LaTeXML/Engine/Base_XMath.pool.ltxml:408	
:	symbol	math	U+003A	colon		METARELOP		:	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:418	
;	symbol	math	U+003B	;		PUNCT		;	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:412	
<	symbol	math	U+003C	<	less-than	RELOP			lib/LaTeXML/Engine/Base_XMath.pool.ltxml:419	
=	symbol	math	U+003D	=	equals	RELOP		=	lib/LaTeXML/Engine/Base_XMath.pool.ltxml:402	
>	symbol	math	U+003E	>	greater-than	RELOP			lib/LaTeXML/Engine/Base_XMath.pool.ltxml:420	
[	symbol	math	U+005B	[		OPEN			lib/LaTeXML/Engine/Base_XMath.pool.ltxml:415	
\*	symbol	math	U+2062	*	times	MULOP			lib/LaTeXML/Engine/math_common.pool.ltxml:304	
\*	symbol	math	U+2062	*	times	MULOP			lib/LaTeXML/Engine/plain_base.pool.ltxml:80	
\AA	text	text	U+00C5	AA				\AA	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2761	
\AA	text	text	U+00C5	AA				\AA	lib/LaTeXML/Engine/plain_base.pool.ltxml:527	
\AE	text	text	U+00C6	AE				\AE	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2759	
\AE	text	text	U+00C6	AE				\AE	lib/LaTeXML/Engine/plain_base.pool.ltxml:525	
\Arrowvert	symbol	math	U+2225	Arrowvert		VERTBAR			lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5428	
\Box	symbol	math	U+25A1	Box				\Box	lib/LaTeXML/Engine/math_common.pool.ltxml:101	
\DH	text	text	U+00D0	DH					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2769	
\DJ	text	text	U+0110	DJ					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2771	
\Delta	symbol	math	U+0394	Delta				\Delta	lib/LaTeXML/Engine/math_common.pool.ltxml:51	
\Diamond	symbol	math	U+25C7	Diamond				\Diamond	lib/LaTeXML/Engine/math_common.pool.ltxml:102	
\Downarrow	symbol	math	U+21D3	Downarrow		ARROW		\Downarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:439	
\Gamma	symbol	math	U+0393	Gamma				\Gamma	lib/LaTeXML/Engine/math_common.pool.ltxml:50	
\Im	symbol	math	U+2111	Im	imaginary-part	OPFUNCTION		\Im	lib/LaTeXML/Engine/math_common.pool.ltxml:75	
\Join	symbol	math	U+2A1D	Join	join	RELOP		\Join	lib/LaTeXML/Engine/math_common.pool.ltxml:293	
\L	text	text	U+0141	L					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2765	
\L	text	text	U+0141	L					lib/LaTeXML/Engine/plain_constructs.pool.ltxml:20	
\Lambda	symbol	math	U+039B	Lambda				\Lambda	lib/LaTeXML/Engine/math_common.pool.ltxml:53	
\Leftarrow	symbol	math	U+21D0	Leftarrow		ARROW		\Leftarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:413	
\Leftrightarrow	symbol	math	U+21D4	Leftrightarrow		METARELOP		\Leftrightarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:417	
\Longleftarrow	symbol	math	U+27F8	Longleftarrow		ARROW		\Longleftarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:425	
