command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Bbbk	symbol	math	U+1D55C	Bbbk				\Bbbk	lib/LaTeXML/Package/amssymb.sty.ltxml:45	
\Bumpeq	symbol	math	U+224E	Bumpeq	geometrically-equals	RELOP		\Bumpeq	lib/LaTeXML/Package/amssymb.sty.ltxml:143	
\Cap	symbol	math	U+22D2	Cap	double-intersection	ADDOP		\Cap	lib/LaTeXML/Package/amssymb.sty.ltxml:63	
\Cup	symbol	math	U+22D3	Cup	double-union	ADDOP		\Cup	lib/LaTeXML/Package/amssymb.sty.ltxml:65	
\Doteq	symbol	math	U+2251	Doteq	geometrically-equals	RELOP		\Doteq	lib/LaTeXML/Package/amssymb.sty.ltxml:114	
\Finv	symbol	math	U+2132	Finv				\Finv	lib/LaTeXML/Package/amssymb.sty.ltxml:43	
\Game	symbol	math	U+2141	Game				\Game	lib/LaTeXML/Package/amssymb.sty.ltxml:44	
\Lleftarrow	symbol	math	U+21DA	Lleftarrow		ARROW		\Lleftarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:325	
\Lsh	symbol	math	U+21B0	Lsh		ARROW		\Lsh	lib/LaTeXML/Package/amssymb.sty.ltxml:332	
\Rrightarrow	symbol	math	U+21DB	Rrightarrow		ARROW		\Rrightarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:337	
\Rsh	symbol	math	U+21B1	Rsh		ARROW		\Rsh	lib/LaTeXML/Package/amssymb.sty.ltxml:344	
\Subset	symbol	math	U+22D0	Subset	double-subset-of	RELOP		\Subset	lib/LaTeXML/Package/amssymb.sty.ltxml:125	
\Supset	symbol	math	U+22D1	Supset	double-superset-of	RELOP		\Supset	lib/LaTeXML/Package/amssymb.sty.ltxml:175	
\Vdash	symbol	math	U+22A9	Vdash	forces	RELOP		\Vdash	lib/LaTeXML/Package/amssymb.sty.ltxml:187	
\Vvdash	symbol	math	U+22AA	Vvdash		RELOP		\Vvdash	lib/LaTeXML/Package/amssymb.sty.ltxml:138	
\approxeq	symbol	math	U+224A	approxeq	approximately-equals-or-equals	RELOP		\approxeq	lib/LaTeXML/Package/amssymb.sty.ltxml:99	
\backepsilon	symbol	math	U+03F6	backepsilon		RELOP		\backepsilon	lib/LaTeXML/Package/amssymb.sty.ltxml:202	
\backprime	symbol	math	U+2035	backprime				\backprime	lib/LaTeXML/Package/amssymb.sty.ltxml:46	
\backsim	symbol	math	U+223D	backsim		RELOP		\backsim	lib/LaTeXML/Package/amssymb.sty.ltxml:120	
\backsimeq	symbol	math	U+22CD	backsimeq		RELOP		\backsimeq	lib/LaTeXML/Package/amssymb.sty.ltxml:122	
\barwedge	symbol	math	U+22BC	barwedge	not-and	ADDOP		\barwedge	lib/LaTeXML/Package/amssymb.sty.ltxml:67	
\because	symbol	math	U+2235	because	because	METARELOP		\because	lib/LaTeXML/Package/amssymb.sty.ltxml:204	
\beth	symbol	math	U+2136	beth				\beth	lib/LaTeXML/Package/amssymb.sty.ltxml:27	
\between	symbol	math	U+226C	between	between	RELOP		\between	lib/LaTeXML/Package/amssymb.sty.ltxml:193	
\bigstar	symbol	math	U+2605	bigstar				\bigstar	lib/LaTeXML/Package/amssymb.sty.ltxml:52	
\blacklozenge	symbol	math	U+29EB	blacklozenge				\blacklozenge	lib/LaTeXML/Package/amssymb.sty.ltxml:51	
\blacksquare	symbol	math	U+25A0	blacksquare				\blacksquare	lib/LaTeXML/Package/amssymb.sty.ltxml:50	
\blacktriangle	symbol	math	U+25B2	blacktriangle				\blacktriangle	lib/LaTeXML/Package/amssymb.sty.ltxml:48	
\blacktriangledown	symbol	math	U+25BC	blacktriangledown				\blacktriangledown	lib/LaTeXML/Package/amssymb.sty.ltxml:49	
\blacktriangleleft	symbol	math	U+25C0	blacktriangleleft		RELOP		\blacktriangleleft	lib/LaTeXML/Package/amssymb.sty.ltxml:199	
\blacktriangleright	symbol	math	U+25B6	blacktriangleright		RELOP		\blacktriangleright	lib/LaTeXML/Package/amssymb.sty.ltxml:203	
\boxdot	symbol	math	U+22A1	boxdot		MULOP		\boxdot	lib/LaTeXML/Package/amssymb.sty.ltxml:72	
\boxminus	symbol	math	U+229F	boxminus		ADDOP		\boxminus	lib/LaTeXML/Package/amssymb.sty.ltxml:70	
\boxplus	symbol	math	U+229E	boxplus		ADDOP		\boxplus	lib/LaTeXML/Package/amssymb.sty.ltxml:73	
\boxtimes	symbol	math	U+22A0	boxtimes		MULOP		\boxtimes	lib/LaTeXML/Package/amssymb.sty.ltxml:71	
\bumpeq	symbol	math	U+224F	bumpeq	difference-between	RELOP		\bumpeq	lib/LaTeXML/Package/amssymb.sty.ltxml:141	
\centerdot	symbol	math	U+2219	centerdot		MULOP		\centerdot	lib/LaTeXML/Package/amssymb.sty.ltxml:84	
\circeq	symbol	math	U+2257	circeq		RELOP		\circeq	lib/LaTeXML/Package/amssymb.sty.ltxml:168	
\circlearrowleft	symbol	math	U+21BA	circlearrowleft		ARROW		\circlearrowleft	lib/LaTeXML/Package/amssymb.sty.ltxml:331	
\circlearrowright	symbol	math	U+21BB	circlearrowright		ARROW		\circlearrowright	lib/LaTeXML/Package/amssymb.sty.ltxml:343	
\circledS	symbol	math	U+24C8	circledS				\circledS	lib/LaTeXML/Package/amssymb.sty.ltxml:38	
