command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Aquarius	text	text	U+2652	Aquarius					lib/LaTeXML/Package/mathabx.sty.ltxml:209	
\Aries	text	text	U+2648	Aries					lib/LaTeXML/Package/mathabx.sty.ltxml:199	
\Asterisk	symbol	math	U+273D	Asterisk		MULOP			lib/LaTeXML/Package/mathabx.sty.ltxml:55	
\Bumpedeq	symbol	math	U+224E	Bumpedeq	geometrically-equals	RELOP		\Bumpeq	lib/LaTeXML/Package/mathabx.sty.ltxml:101	
\Cancer	text	text	U+264B	Cancer					lib/LaTeXML/Package/mathabx.sty.ltxml:202	
\Capricorn	text	text	U+2651	Capricorn					lib/LaTeXML/Package/mathabx.sty.ltxml:208	
\DashV	symbol	math	U+2AE5	DashV		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:144	
\Dashv	symbol	math	U+2AE4	Dashv		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:116	
\Doteq	symbol	math		Doteq				\Doteq	lib/LaTeXML/Package/mathabx.sty.ltxml:94	Let alias of \doteqdot
\Earth	text	text	U+2641	Earth					lib/LaTeXML/Package/mathabx.sty.ltxml:187	
\Finv	symbol	math	U+2132	Finv				\Finv	lib/LaTeXML/Package/mathabx.sty.ltxml:220	
\Game	symbol	math	U+2141	Game				\Game	lib/LaTeXML/Package/mathabx.sty.ltxml:221	
\Gemini	text	text	U+264A	Gemini					lib/LaTeXML/Package/mathabx.sty.ltxml:201	
\Jupiter	text	text	U+2643	Jupiter					lib/LaTeXML/Package/mathabx.sty.ltxml:189	
\Leo	text	text	U+264C	Leo					lib/LaTeXML/Package/mathabx.sty.ltxml:203	
\Libra	text	text	U+264E	Libra					lib/LaTeXML/Package/mathabx.sty.ltxml:205	
\Lsh	symbol	math	U+21B0	Lsh		ARROW		\Lsh	lib/LaTeXML/Package/mathabx.sty.ltxml:474	
\Mapsfromchar	symbol	math	U+007C	Mapsfromchar		RELOP		\textbar	lib/LaTeXML/Package/mathabx.sty.ltxml:449	
\Mapstochar	symbol	math	U+007C	Mapstochar		RELOP		\textbar	lib/LaTeXML/Package/mathabx.sty.ltxml:448	
\Mars	text	text	U+2642	Mars					lib/LaTeXML/Package/mathabx.sty.ltxml:188	
\Mercury	text	text	U+263F	Mercury					lib/LaTeXML/Package/mathabx.sty.ltxml:185	
\Neptune	text	text	U+2646	Neptune					lib/LaTeXML/Package/mathabx.sty.ltxml:192	
\Pisces	text	text	U+2653	Pisces					lib/LaTeXML/Package/mathabx.sty.ltxml:210	
\Pluto	text	text	U+2647	Pluto					lib/LaTeXML/Package/mathabx.sty.ltxml:193	
\Rsh	symbol	math	U+21B1	Rsh		ARROW		\Rsh	lib/LaTeXML/Package/mathabx.sty.ltxml:475	
\Sagittarius	text	text	U+2650	Sagittarius					lib/LaTeXML/Package/mathabx.sty.ltxml:207	
\Saturn	text	text	U+2644	Saturn					lib/LaTeXML/Package/mathabx.sty.ltxml:190	
\Scorpio	text	text	U+264F	Scorpio					lib/LaTeXML/Package/mathabx.sty.ltxml:206	
