command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Pisymbol{pzd}{100}	text	text	U+2744	Pisymbol-pzd-100					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 100
\Pisymbol{pzd}{101}	text	text	U+2745	Pisymbol-pzd-101					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 101
\Pisymbol{pzd}{102}	text	text	U+2746	Pisymbol-pzd-102					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 102
\Pisymbol{pzd}{103}	text	text	U+2747	Pisymbol-pzd-103					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 103
\Pisymbol{pzd}{104}	text	text	U+2748	Pisymbol-pzd-104					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 104
\Pisymbol{pzd}{105}	text	text	U+2749	Pisymbol-pzd-105					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 105
\Pisymbol{pzd}{106}	text	text	U+274A	Pisymbol-pzd-106					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 106
\Pisymbol{pzd}{107}	text	text	U+274B	Pisymbol-pzd-107					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 107
\Pisymbol{pzd}{108}	text	text	U+26AB	Pisymbol-pzd-108					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 108
\Pisymbol{pzd}{109}	text	text	U+274D	Pisymbol-pzd-109					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 109
\Pisymbol{pzd}{110}	text	text	U+25FC	Pisymbol-pzd-110					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 110
\Pisymbol{pzd}{111}	text	text	U+274F	Pisymbol-pzd-111					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 111
\Pisymbol{pzd}{112}	text	text	U+2750	Pisymbol-pzd-112					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 112
\Pisymbol{pzd}{113}	text	text	U+2751	Pisymbol-pzd-113					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 113
\Pisymbol{pzd}{114}	text	text	U+2752	Pisymbol-pzd-114					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 114
\Pisymbol{pzd}{115}	text	text	U+25B2	Pisymbol-pzd-115				\blacktriangle	lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 115
\Pisymbol{pzd}{116}	text	text	U+25BC	Pisymbol-pzd-116				\blacktriangledown	lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 116
\Pisymbol{pzd}{117}	text	text	U+25C6	Pisymbol-pzd-117					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 117
\Pisymbol{pzd}{118}	text	text	U+2756	Pisymbol-pzd-118					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 118
\Pisymbol{pzd}{119}	text	text	U+25D7	Pisymbol-pzd-119					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 119
\Pisymbol{pzd}{120}	text	text	U+2758	Pisymbol-pzd-120					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 120
\Pisymbol{pzd}{121}	text	text	U+2759	Pisymbol-pzd-121					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 121
