command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Arrownot	symbol	math	U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+007D U+007B U+002F U+007D	Arrownot		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:164	
\Lbag	symbol	math	U+27C5	Lbag		OPEN			lib/LaTeXML/Package/stmaryrd.sty.ltxml:190	
\Longarrownot	symbol	math	U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+007D U+007B U+002F U+007D	Longarrownot		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:165	
\Longmapsfrom	symbol	math	U+27FD	Longmapsfrom		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:169	
\Longmapsto	symbol	math	U+27FE	Longmapsto		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:170	
\Mapsfrom	symbol	math	U+2906	Mapsfrom		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:171	
\Mapsfromchar	symbol	math	U+007C	Mapsfromchar		RELOP		\textbar	lib/LaTeXML/Package/stmaryrd.sty.ltxml:167	
\Mapsto	symbol	math	U+2907	Mapsto		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:172	
\Mapstochar	symbol	math	U+007C	Mapstochar		RELOP		\textbar	lib/LaTeXML/Package/stmaryrd.sty.ltxml:168	
\Rbag	symbol	math	U+27C6	Rbag		CLOSE			lib/LaTeXML/Package/stmaryrd.sty.ltxml:193	
\Yup	symbol	math	U+2144	Yup		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:26	
\arrownot	symbol	math	U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+007D U+007B U+002F U+007D	arrownot		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:162	
\baro	symbol	math	U+233D	baro	apl-reversal	RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:31	
\bbslash	symbol	math	U+244A	bbslash		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:33	
\bigbox	symbol	math	U+25A1	bigbox		SUMOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:88	
\bigcurlyvee	symbol	math	U+22CE	bigcurlyvee		SUMOP		\curlyvee	lib/LaTeXML/Package/stmaryrd.sty.ltxml:96	
\bigcurlywedge	symbol	math	U+22CF	bigcurlywedge		SUMOP		\curlywedge	lib/LaTeXML/Package/stmaryrd.sty.ltxml:92	
\biginterleave	symbol	math	U+2AFC	biginterleave		SUMOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:100	
\bignplus	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0062 U+0069 U+0067 U+0063 U+0061 U+0070 U+005C U+006D U+0061 U+0074 U+0068 U+0063 U+0068 U+006F U+0069 U+0063 U+0065 U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0036 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0033 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0033 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0033 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+007D	bignplus	intersection-plus	ADDOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:149	
\bigparallel	symbol	math	U+2016	bigparallel		SUMOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:104	
\bigsqcap	symbol	math	U+2A05	bigsqcap		SUMOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:108	
\bigtriangledown	symbol	math	U+25BD	bigtriangledown		SUMOP		\bigtriangledown	lib/LaTeXML/Package/stmaryrd.sty.ltxml:112	
