command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\textacutedbl	text	text	U+02DD	textacutedbl				\H	lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textasciiacute	text	text	U+00B4	textasciiacute					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textasciibreve	text	text	U+02D8	textasciibreve					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textasciicaron	text	text	U+02C7	textasciicaron					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textasciidieresis	text	text	U+00A8	textasciidieresis					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textasciigrave	text	text	U+0060	textasciigrave					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textasciimacron	text	text	U+00AF	textasciimacron					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textasteriskcentered	text	text	U+002A	textasteriskcentered					lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textbaht	text	text	U+0E3F	textbaht					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textbardbl	text	text	U+2016	textbardbl				\textbardbl	lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textbigcircle	text	text	U+25CB	textbigcircle					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textblank	text	text	U+2422	textblank					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textborn	text	text	U+2605	textborn				\bigstar	lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textbrokenbar	text	text	U+00A6	textbrokenbar					lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textbullet	text	text	U+2022	textbullet					lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textcelsius	text	text	U+2103	textcelsius					lib/LaTeXML/Package/textcomp.sty.ltxml:159	from %textcomp_scientific
\textcent	text	text	U+00A2	textcent					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textcentoldstyle	text	text	U+00A2	textcentoldstyle					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textcircledP	text	text	U+2117	textcircledP					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textcolonmonetary	text	text	U+20A1	textcolonmonetary					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textcopyleft	text	text	U+2184 U+20DD	textcopyleft					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textcopyright	text	text	U+00A9	textcopyright				\textcopyright	lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textcurrency	text	text	U+00A4	textcurrency					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textdagger	text	text	U+2020	textdagger				\textdagger	lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textdaggerdbl	text	text	U+2021	textdaggerdbl				\textdaggerdbl	lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textdblhyphen	text	text	U+003D	textdblhyphen				=	lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textdblhyphenchar	text	text	U+003D	textdblhyphenchar				=	lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
