command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Colonapprox	symbol	math	U+003A U+003A U+2248	Colonapprox		RELOP		\Colonapprox	lib/LaTeXML/Package/txfonts.sty.ltxml:176	
\Coloneq	symbol	math	U+003A U+003A U+002D	Coloneq		RELOP		\Coloneq	lib/LaTeXML/Package/txfonts.sty.ltxml:178	
\Coloneqq	symbol	math	U+2A74	Coloneqq		RELOP		\Coloneqq	lib/LaTeXML/Package/txfonts.sty.ltxml:180	
\Colonsim	symbol	math	U+003A U+003A U+223C	Colonsim		RELOP		\Colonsim	lib/LaTeXML/Package/txfonts.sty.ltxml:182	
\DiamondLeft	symbol	math	U+21D0 U+25C7	DiamondLeft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:189	
\DiamondRight	symbol	math	U+25C7 U+21D2	DiamondRight		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:191	
\Diamondblack	symbol	math	U+25C6	Diamondblack					lib/LaTeXML/Package/txfonts.sty.ltxml:385	
\Diamonddot	symbol	math	U+27D0	Diamonddot					lib/LaTeXML/Package/txfonts.sty.ltxml:386	
\DiamonddotLeft	symbol	math	U+21D0 U+27D0	DiamonddotLeft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:185	
\DiamonddotRight	symbol	math	U+27D0 U+21D2	DiamonddotRight		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:187	
\Diamonddotleft	symbol	math	U+2190 U+27D0	Diamonddotleft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:184	
\Diamonddotright	symbol	math	U+27D0 U+2192	Diamonddotright		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:186	
\Diamondleft	symbol	math	U+2190 U+25C7	Diamondleft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:188	
\Diamondright	symbol	math	U+25C7 U+2192	Diamondright		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:190	
\Eqcolon	symbol	math	U+002D U+003A U+003A	Eqcolon		RELOP		\Eqcolon	lib/LaTeXML/Package/txfonts.sty.ltxml:192	
\Eqqcolon	symbol	math	U+003D U+003A U+003A	Eqqcolon		RELOP		\Eqqcolon	lib/LaTeXML/Package/txfonts.sty.ltxml:194	
\Join	symbol	math	U+22C8	Join		RELOP		\Join	lib/LaTeXML/Package/txfonts.sty.ltxml:201	
\Longmappedfrom	symbol	math	U+27FD	Longmappedfrom		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:319	
\Longmapsto	symbol	math	U+27FE	Longmapsto		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:320	
\Mappedfrom	symbol	math	U+2906	Mappedfrom		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:323	
\Mappedfromchar	symbol	math	U+2AE4	Mappedfromchar		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:203	
\Mapsto	symbol	math	U+2907	Mapsto		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:324	
\Mmapstochar	symbol	math	U+2AE5	Mmapstochar		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:206	
\Nearrow	symbol	math	U+21D7	Nearrow		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:223	
\Nwarrow	symbol	math	U+21D6	Nwarrow		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:288	
\Perp	symbol	math	U+2AEB	Perp		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:291	
\Rrightarrow	symbol	math	U+21DB	Rrightarrow		RELOP		\Rrightarrow	lib/LaTeXML/Package/txfonts.sty.ltxml:298	
\Searrow	symbol	math	U+21D8	Searrow		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:299	
\Swarrow	symbol	math	U+21D9	Swarrow		ARROW			lib/LaTeXML/Package/txfonts.sty.ltxml:307	
\alphaup	symbol	math	U+03B1	alphaup				\alpha	lib/LaTeXML/Package/txfonts.sty.ltxml:333	
\betaup	symbol	math	U+03B2	betaup				\beta	lib/LaTeXML/Package/txfonts.sty.ltxml:334	
\bigsqcap	symbol	math	U+2A05	bigsqcap		SUMOP			lib/LaTeXML/Package/txfonts.sty.ltxml:151	
\boxLeft	symbol	math	U+21D0 U+25A1	boxLeft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:166	
\boxRight	symbol	math	U+25A1 U+21D2	boxRight		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:168	
\boxast	symbol	math	U+29C6	boxast					lib/LaTeXML/Package/txfonts.sty.ltxml:34	
\boxbar	symbol	math	U+25EB	boxbar					lib/LaTeXML/Package/txfonts.sty.ltxml:35	
\boxbslash	symbol	math	U+29C4	boxbslash					lib/LaTeXML/Package/txfonts.sty.ltxml:36	
\boxdotLeft	symbol	math	U+21D0 U+22A1	boxdotLeft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:162	
