command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\AC	text	text	U+223C	AC					lib/LaTeXML/Package/wasysym.sty.ltxml:94	
\APLbox	text	text	U+2395	APLbox					lib/LaTeXML/Package/wasysym.sty.ltxml:171	
\APLcomment	text	text	U+235D	APLcomment					lib/LaTeXML/Package/wasysym.sty.ltxml:168	
\APLdown	text	text	U+2352	APLdown					lib/LaTeXML/Package/wasysym.sty.ltxml:173	
\APLdownarrowbox	text	text	U+2357	APLdownarrowbox					lib/LaTeXML/Package/wasysym.sty.ltxml:177	
\APLinput	text	text	U+235E	APLinput					lib/LaTeXML/Package/wasysym.sty.ltxml:174	
\APLinv	text	text	U+2339	APLinv					lib/LaTeXML/Package/wasysym.sty.ltxml:175	
\APLleftarrowbox	text	text	U+2347	APLleftarrowbox					lib/LaTeXML/Package/wasysym.sty.ltxml:178	
\APLlog	text	text	U+235F	APLlog					lib/LaTeXML/Package/wasysym.sty.ltxml:170	
\APLrightarrowbox	text	text	U+2348	APLrightarrowbox					lib/LaTeXML/Package/wasysym.sty.ltxml:179	
\APLstar	text	text	U+22C6	APLstar				\star	lib/LaTeXML/Package/wasysym.sty.ltxml:169	
\APLup	text	text	U+234B	APLup					lib/LaTeXML/Package/wasysym.sty.ltxml:172	
\APLuparrowbox	text	text	U+2350	APLuparrowbox					lib/LaTeXML/Package/wasysym.sty.ltxml:176	
\Bowtie	text	text	U+22C8	Bowtie					lib/LaTeXML/Package/wasysym.sty.ltxml:91	
\Box	symbol	math	U+25A1	Box				\Box	lib/LaTeXML/Package/wasysym.sty.ltxml:28	
\CIRCLE	text	text	U+25CF	CIRCLE					lib/LaTeXML/Package/wasysym.sty.ltxml:120	
\CheckedBox	text	text	U+2611	CheckedBox					lib/LaTeXML/Package/wasysym.sty.ltxml:100	
\Circle	text	text	U+25CB	Circle					lib/LaTeXML/Package/wasysym.sty.ltxml:119	
\DOWNarrow	text	text	U+25BC	DOWNarrow				\blacktriangledown	lib/LaTeXML/Package/wasysym.sty.ltxml:75	
\Diamond	symbol	math	U+25C7	Diamond				\Diamond	lib/LaTeXML/Package/wasysym.sty.ltxml:29	
\HF	text	text	U+2248	HF					lib/LaTeXML/Package/wasysym.sty.ltxml:95	
\Join	symbol	math	U+2A1D	Join				\Join	lib/LaTeXML/Package/wasysym.sty.ltxml:27	
\LEFTCIRCLE	text	text	U+25D6	LEFTCIRCLE					lib/LaTeXML/Package/wasysym.sty.ltxml:123	
\LEFTarrow	text	text	U+25C0	LEFTarrow				\blacktriangleleft	lib/LaTeXML/Package/wasysym.sty.ltxml:73	
\LEFTcircle	text	text	U+25D0	LEFTcircle					lib/LaTeXML/Package/wasysym.sty.ltxml:125	
\LHD	symbol	math	U+25C0	LHD				\blacktriangleleft	lib/LaTeXML/Package/wasysym.sty.ltxml:35	
\RHD	symbol	math	U+25B6	RHD				\blacktriangleright	lib/LaTeXML/Package/wasysym.sty.ltxml:38	
\RIGHTCIRCLE	text	text	U+25D7	RIGHTCIRCLE					lib/LaTeXML/Package/wasysym.sty.ltxml:124	
\RIGHTarrow	text	text	U+25B6	RIGHTarrow				\blacktriangleright	lib/LaTeXML/Package/wasysym.sty.ltxml:72	
\RIGHTcircle	text	text	U+25D1	RIGHTcircle					lib/LaTeXML/Package/wasysym.sty.ltxml:126	
\Square	text	text	U+25A1	Square					lib/LaTeXML/Package/wasysym.sty.ltxml:98	
\Thorn	text	text	U+00DE	Thorn					lib/LaTeXML/Package/wasysym.sty.ltxml:131	
\UParrow	text	text	U+25B2	UParrow				\blacktriangle	lib/LaTeXML/Package/wasysym.sty.ltxml:74	
\VHF	text	text	U+224B	VHF					lib/LaTeXML/Package/wasysym.sty.ltxml:96	
\XBox	text	text	U+2327	XBox					lib/LaTeXML/Package/wasysym.sty.ltxml:99	
\agemO	text	text	U+2127	agemO				\mho	lib/LaTeXML/Package/wasysym.sty.ltxml:92	
\apprge	symbol	math	U+2273	apprge				\gtrsim	lib/LaTeXML/Package/wasysym.sty.ltxml:40	
\apprle	symbol	math	U+2272	apprle				\lesssim	lib/LaTeXML/Package/wasysym.sty.ltxml:39	
\aquarius	text	text	U+2652	aquarius					lib/LaTeXML/Package/wasysym.sty.ltxml:163	
\aries	text	text	U+2648	aries					lib/LaTeXML/Package/wasysym.sty.ltxml:153	
\ascnode	text	text	U+260A	ascnode					lib/LaTeXML/Package/wasysym.sty.ltxml:136	
\astrosun	text	text	U+2609	astrosun					lib/LaTeXML/Package/wasysym.sty.ltxml:142	
\ataribox	text	text	U+26CB	ataribox					lib/LaTeXML/Package/wasysym.sty.ltxml:26	
\bell	text	text	U+237E	bell					lib/LaTeXML/Package/wasysym.sty.ltxml:86	
\blacksmiley	text	text	U+263B	blacksmiley					lib/LaTeXML/Package/wasysym.sty.ltxml:83	
\brokenvert	text	text	U+00A6	brokenvert					lib/LaTeXML/Package/wasysym.sty.ltxml:89	
\cancer	text	text	U+264B	cancer					lib/LaTeXML/Package/wasysym.sty.ltxml:156	
\capricornus	text	text	U+2651	capricornus					lib/LaTeXML/Package/wasysym.sty.ltxml:162	
\cent	text	text	U+00A2	cent					lib/LaTeXML/Package/wasysym.sty.ltxml:87	
\checked	text	text	U+2713	checked					lib/LaTeXML/Package/wasysym.sty.ltxml:85	
\clock	text	text	U+1F552	clock					lib/LaTeXML/Package/wasysym.sty.ltxml:69	
\conjunction	text	text	U+260C	conjunction					lib/LaTeXML/Package/wasysym.sty.ltxml:165	
\currency	text	text	U+00A4	currency					lib/LaTeXML/Package/wasysym.sty.ltxml:66	
\davidsstar	text	text	U+2721	davidsstar					lib/LaTeXML/Package/wasysym.sty.ltxml:111	
\descnode	text	text	U+260B	descnode					lib/LaTeXML/Package/wasysym.sty.ltxml:137	
\diameter	text	text	U+2300	diameter					lib/LaTeXML/Package/wasysym.sty.ltxml:76	
\earth	text	text	U+2641	earth					lib/LaTeXML/Package/wasysym.sty.ltxml:145	
\eighthnote	text	text	U+1D160	eighthnote					lib/LaTeXML/Package/wasysym.sty.ltxml:113	
\female	text	text	U+2640	female					lib/LaTeXML/Package/wasysym.sty.ltxml:65	
\frownie	text	text	U+2639	frownie					lib/LaTeXML/Package/wasysym.sty.ltxml:82	
\fullmoon	text	text	U+1F315	fullmoon					lib/LaTeXML/Package/wasysym.sty.ltxml:138	
\fullnote	text	text	U+1D15D	fullnote					lib/LaTeXML/Package/wasysym.sty.ltxml:116	
\gemini	text	text	U+264A	gemini					lib/LaTeXML/Package/wasysym.sty.ltxml:155	
\gluon	text	text	U+27BF U+27BF U+27BF	gluon					lib/LaTeXML/Package/wasysym.sty.ltxml:48	
\halfnote	text	text	U+1D15E	halfnote					lib/LaTeXML/Package/wasysym.sty.ltxml:115	
\hexagon	text	text	U+2394	hexagon					lib/LaTeXML/Package/wasysym.sty.ltxml:101	
\hexstar	text	text	U+26B9	hexstar					lib/LaTeXML/Package/wasysym.sty.ltxml:105	
\iiint	symbol	math	U+222D	iiint	triple-integral	INTOP		\iiint	lib/LaTeXML/Package/wasysym.sty.ltxml:59	
