command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\ArrowBoldDownRight	text	text	U+27A5	ArrowBoldDownRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 121 (octal '171)
\ArrowBoldRightCircled	text	text	U+27B2	ArrowBoldRightCircled					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 123 (octal '173)
\ArrowBoldRightShort	text	text	U+27A7	ArrowBoldRightShort					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 122 (octal '172)
\ArrowBoldRightStrobe	text	text	U+279F	ArrowBoldRightStrobe					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 119 (octal '167)
\ArrowBoldUpRight	text	text	U+27A6	ArrowBoldUpRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 120 (octal '170)
\Asterisk	text	text	U+273D	Asterisk					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 78 (octal '116)
\AsteriskBold	text	text	U+2731	AsteriskBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 65 (octal '101)
\AsteriskCenterOpen	text	text	U+2732	AsteriskCenterOpen					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 66 (octal '102)
\AsteriskRoundedEnds	text	text	U+2749	AsteriskRoundedEnds					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 88 (octal '130)
\AsteriskThin	text	text	U+2733	AsteriskThin					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 67 (octal '103)
\AsteriskThinCenterOpen	text	text	U+2733	AsteriskThinCenterOpen					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 68 (octal '104)
\Checkmark	text	text	U+2713	Checkmark					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 33 (octal '041)
\CheckmarkBold	text	text	U+2714	CheckmarkBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 34 (octal '042)
\CircleShadow	text	text	U+274D	CircleShadow					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 100 (octal '144)
\CircleSolid	text	text	U+25CF	CircleSolid					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 97 (octal '141)
\Cross	text	text	U+271D	Cross					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 42 (octal '052)
\CrossBoldOutline	text	text	U+271F	CrossBoldOutline					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 45 (octal '055)
\CrossClowerTips	text	text	U+2725	CrossClowerTips					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 52 (octal '064)
\CrossMaltese	text	text	U+2720	CrossMaltese					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 46 (octal '056)
\CrossOpenShadow	text	text	U+271E	CrossOpenShadow					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 43 (octal '053)
\CrossOutline	text	text	U+271F	CrossOutline					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 44 (octal '054)
\DavidStar	text	text	U+2721	DavidStar					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 48 (octal '060)
\DavidStarSolid	text	text	U+2736	DavidStarSolid					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 47 (octal '057)
\DiamondSolid	text	text	U+25C6	DiamondSolid					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 112 (octal '160)
\EightAsterisk	text	text	U+274B	EightAsterisk					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 90 (octal '132)
\EightFlowerPetal	text	text	U+2741	EightFlowerPetal					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 83 (octal '123)
\EightFlowerPetalRemoved	text	text	U+274A	EightFlowerPetalRemoved					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 89 (octal '131)
\EightStar	text	text	U+2737	EightStar					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 72 (octal '110)
\EightStarBold	text	text	U+2738	EightStarBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 73 (octal '111)
\EightStarConvex	text	text	U+2735	EightStarConvex					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 70 (octal '106)
\EightStarTaper	text	text	U+2734	EightStarTaper					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 69 (octal '105)
\Ellipse	text	text	U+2B2D	Ellipse					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 98 (octal '142)
