command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Bbbk	symbol	math	U+1D55C	Bbbk		ID		\Bbbk	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Bbbk
\Bot	symbol	math	U+22A5	Bot		ID			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord
\Bumpeq	symbol	math	U+224E	Bumpeq	geometrically-equals	RELOP		\Bumpeq	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Bumpeq
\Cap	symbol	math	U+22D2	Cap	double-intersection	BINOP		\Cap	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathbin; codepoint from extract \Cap
\Colonapprox	symbol	math	U+003A U+003A U+2248	Colonapprox		RELOP		\Colonapprox	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Colonapprox
\Coloneq	symbol	math	U+003A U+003A U+002D	Coloneq		RELOP		\Coloneq	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Coloneq
\Coloneqq	symbol	math	U+2A74	Coloneqq		RELOP		\Coloneqq	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Coloneqq
\Colonsim	symbol	math	U+003A U+003A U+223C	Colonsim		RELOP		\Colonsim	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Colonsim
\Cup	symbol	math	U+22D3	Cup	double-union	BINOP		\Cup	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathbin; codepoint from extract \Cup
\Delta	symbol	math	U+0394	Delta		ID		\Delta	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Delta
\Deltasl	symbol	math	U+0394	Deltasl		ID		\Delta	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Deltasl
\Deltaup	symbol	math	U+0394	Deltaup				\Delta	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathalpha; codepoint from extract \Deltaup
\Diamond	symbol	math	U+25C7	Diamond		ID		\Diamond	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Diamond
\DiamondLeft	symbol	math	U+21D0 U+25C7	DiamondLeft		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \DiamondLeft
\DiamondRight	symbol	math	U+25C7 U+21D2	DiamondRight		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \DiamondRight
\Diamondblack	symbol	math	U+25C6	Diamondblack		ID			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Diamondblack
\Diamonddot	symbol	math	U+27D0	Diamonddot		ID			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Diamonddot
\DiamonddotLeft	symbol	math	U+21D0 U+27D0	DiamonddotLeft		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \DiamonddotLeft
\DiamonddotRight	symbol	math	U+27D0 U+21D2	DiamonddotRight		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \DiamonddotRight
\Diamonddotleft	symbol	math	U+2190 U+27D0	Diamonddotleft		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Diamonddotleft
\Diamonddotright	symbol	math	U+27D0 U+2192	Diamonddotright		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Diamonddotright
\Diamondleft	symbol	math	U+2190 U+25C7	Diamondleft		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Diamondleft
\Diamondright	symbol	math	U+25C7 U+2192	Diamondright		RELOP			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Diamondright
\Eqcolon	symbol	math	U+002D U+003A U+003A	Eqcolon		RELOP		\Eqcolon	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Eqcolon
\Eqqcolon	symbol	math	U+003D U+003A U+003A	Eqqcolon		RELOP		\Eqqcolon	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Eqqcolon
\Finv	symbol	math	U+2132	Finv		ID		\Finv	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Finv
\Game	symbol	math	U+2141	Game		ID		\Game	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Game
\Gamma	symbol	math	U+0393	Gamma		ID		\Gamma	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Gamma
\Gammasl	symbol	math	U+0393	Gammasl		ID		\Gamma	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Gammasl
\Gammaup	symbol	math	U+0393	Gammaup				\Gamma	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathalpha; codepoint from extract \Gammaup
\Im	symbol	math	U+2111	Im	imaginary-part	ID		\Im	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Im
\Join	symbol	math	U+2A1D	Join	join	RELOP		\Join	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathrel; codepoint from extract \Join
\Lambda	symbol	math	U+039B	Lambda		ID		\Lambda	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Lambda
\Lambdasl	symbol	math	U+039B	Lambdasl		ID		\Lambda	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathord; codepoint from extract \Lambdasl
\Lambdaup	symbol	math	U+039B	Lambdaup				\Lambda	lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathalpha; codepoint from extract \Lambdaup
\Lbag	symbol	math	U+27C5	Lbag		OPEN			lib-symb/kpfonts/tex/latex/kpfonts/kpfonts.sty	re@DeclareMathSymbol mathopen; codepoint from extract \Lbag
