command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\OE	text	text	U+0152	OE				\OE	lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator; codepoint from extract \OE
\ae	text	text	U+00E6	ae				\ae	lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator; codepoint from extract \ae
\dh	text	text	U+00F0	dh					lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator; codepoint from extract \dh
\i	text	text	U+0131	i				\i	lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator; codepoint from extract \i
\j	text	text	U+0237	j				\j	lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator; codepoint from extract \j
\ng	text	text	U+014B	ng					lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator
\o	text	text	U+00F8	o				\o	lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator; codepoint from extract \o
\oe	text	text	U+0153	oe				\oe	lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator; codepoint from extract \oe
\textacutemacron	text	text	U+1DC4	textacutemacron					lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator
\textacutewedge	text	text	U+1DC7	textacutewedge					lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator
\textadvancing	text	text	U+031F	textadvancing					lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator
\textbabygamma	text	text	U+0264	textbabygamma					lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator
\textbardotlessj	text	text	U+025F	textbardotlessj					lib-symb/tipa/tex/latex/tipa/t3enc.def	tipa command; codepoint filled from T3 map or curator
